formula,en,Tc,hf,mass,Ref.
AcAlH8,2.031,100,0.8,31.4958,doi.org/10.1088/1361-648X/ac9bba
AcB2H14,2.1165,42,0.8235,17.6176,doi.org/10.1103/PhysRevB.110.064105
AcB2H6,2.0422,1,0.6667,41.1078,doi.org/10.1039/D3CP02099A
AcB2H8,2.0709,19.22,0.7273,30.8309,doi.org/10.1088/1674-1056/ad7c31
AcB2H8,2.0709,99,0.7273,30.8309,doi.org/10.1039/D3CP02099A
AcB2H8,2.0709,85,0.7273,30.8309,doi.org/10.1039/D3CP02099A
AcBe2H10,2.0185,115,0.7692,24.308,doi.org/10.1103/PhysRevB.109.014501
AcBe2H12,2.0427,78,0.8,20.2566,doi.org/10.1103/PhysRevB.109.014501
AcBe2H14,2.0612,42,0.8235,17.3628,doi.org/10.1103/PhysRevB.109.014501
AcBe2H16,2.0758,150,0.8421,15.1925,doi.org/10.1103/PhysRevB.109.014501
AcBeH10,2.0558,165,0.8333,23.4139,doi.org/10.1103/PhysRevB.109.014501
AcBeH8,2.027,181,0.8,29.2659,doi.org/10.1103/PhysRevB.109.014501
AcBeH8,2.027,118,0.8,29.2674,doi.org/10.1103/PhysRevB.109.014501
AcBeH8,2.027,75,0.8,29.2674,doi.org/10.1103/PhysRevB.109.014501
AcBH16,2.13,39,0.8889,14.7452,doi.org/10.1103/PhysRevB.110.064105
AcBH3,1.948,7,0.6,78.6409,doi.org/10.1039/D3CP02099A
AcBH3,1.948,20,0.6,78.6409,doi.org/10.1039/D3CP02099A
AcBH4,1.99,0,0.6667,58.9807,doi.org/10.1039/D3CP02099A
AcBH5,2.02,30,0.7143,47.1845,doi.org/10.1039/D3CP02099A
AcBH7,2.06,122,0.7778,33.7032,doi.org/10.1103/PhysRevB.110.064105
AcBH7,2.06,122,0.7778,33.7032,doi.org/10.1103/PhysRevB.110.064105
AcBH7,2.06,43,0.7778,33.7032,doi.org/10.1103/PhysRevB.110.064105
AcBH8,2.074,127,0.8,29.4903,doi.org/10.1088/1361-648X/ac9bba
AcBH8,2.074,140,0.8,29.4903,doi.org/10.1039/D3CP02099A
AcBH8,2.074,46,0.8,29.4903,doi.org/10.1103/PhysRevB.110.064105
AcBH8,2.074,108,0.8,29.4903,doi.org/10.1039/D3CP02099A
AcBH8,2.074,93,0.8,29.4903,doi.org/10.1039/D3CP02099A
AcBH8,2.074,43,0.8,29.4903,doi.org/10.1103/PhysRevB.110.064105
AcGeH8,2.071,201,0.8,37.1565,doi.org/10.1088/1361-648X/ac9bba
AcSiH8,2.06,182,0.8,31.6326,doi.org/10.1088/1361-648X/ac9bba
AcTh2H18,2.0619,203,0.8571,38.0886,doi.org/10.1103/PhysRevB.109.224505
AcTh3H24,2.0643,201,0.8571,38.1581,doi.org/10.1103/PhysRevB.109.224505
AcThH12,2.0571,240,0.8571,37.9497,doi.org/10.1103/PhysRevB.109.224505
AgMg3H,1.612,8,0.2,179.3502,doi.org/10.1103/PhysRevLett.132.166001
AgN2H8,2.3282,52,0.7273,16.8507,doi.org/10.1063/5.0127365
AgN2H8,2.3282,54.92,0.7273,16.8507,doi.org/10.1063/5.0127365
Al2B2H,1.9,52.64,0.2,74.9841,doi.org/10.1103/PhysRevMaterials.7.114802
Al2MnH6,1.9967,43.9,0.6667,18.0063,doi.org/10.1002/adfm.202404043
Al2MnH6,1.9967,66,0.6667,18.0063,doi.org/10.1016/j.mtphys.2024.101374
Al2ReH6,2.0356,36.4,0.6667,39.7113,doi.org/10.1002/adfm.202404043
Al2TcH6,2.0356,43.1,0.6667,25.1263,doi.org/10.1002/adfm.202404043
AlC2H8,2.21,67,0.7273,6.3249,doi.org/10.1103/PhysRevB.105.104511
AlHfH6,2.0138,76,0.75,33.9735,doi.org/10.1063/5.0159590
AlHgH3,2.042,28.4,0.6,75.2553,doi.org/10.1002/adfm.202404043
AlN2H8,2.2991,72,0.7273,6.8199,doi.org/10.1063/5.0127365
AlN2H8,2.2991,118,0.7273,6.8199,doi.org/10.1063/5.0127365
AlScH6,2.0213,42,0.75,11.8945,doi.org/10.1063/5.0159590
AlScH6,2.0213,32,0.75,11.8945,doi.org/10.1063/5.0159590
AlSiH6,2.0888,22.5,0.75,9.105,doi.org/10.1103/PhysRevB.96.144518
AlTiH6,2.0438,36,0.75,12.3758,doi.org/10.1063/5.0159590
AlYH6,2.0038,52,0.75,19.1614,doi.org/10.1063/5.0159590
AlZrH6,2.0175,75,0.75,19.5446,doi.org/10.1063/5.0159590
AlZrH6,2.0175,37,0.75,19.5446,doi.org/10.1021/acsomega.2c02447
ArSH3,2.476,22,0.6,23.8128,doi.org/10.1007/s11467-018-0818-7
Au2NaH6,2.1344,89,0.6667,68.9368,doi.org/10.1103/PhysRevLett.132.166001
AuNa3H,1.506,4,0.2,263.8294,doi.org/10.1103/PhysRevLett.132.166001
Ba(AuH2)2,2.11,30,0.5714,131.7634,doi.org/10.1021/jacs.7b04456
BaC2H8,2.1445,6.4,0.7273,20.0089,doi.org/10.1021/acsaelm.1c00617
BaC2H8,2.1445,16.2,0.7273,20.0089,doi.org/10.1021/acsaelm.1c00617
BaC3H12,2.1838,10.6,0.75,14.3323,doi.org/10.1021/acsaelm.1c00617
BaC3H12,2.1838,43.7,0.75,14.3323,doi.org/10.1021/acsaelm.1c00617
BaMgH3,1.76,36,0.6,53.4507,doi.org/10.1103/PhysRevLett.132.166001
BaPH8,2.068,154,0.8,20.871,doi.org/10.1088/1361-648X/ac9bba
BaReH9,2.0536,7,0.8182,35.6636,doi.org/10.1021/acs.jpcc.5b03709
BaSH3,2.014,42.3,0.6,56.0152,doi.org/10.1016/j.cjph.2024.02.025
BaSH3,2.014,33.5,0.6,56.0152,doi.org/10.1016/j.cjph.2024.02.025
BaSiH8,2.039,84,0.8,20.5128,doi.org/10.1038/s41524-022-00801-y
Be2SH3,2.0533,29,0.5,16.5623,doi.org/10.1039/D3TC00922J
BeCH4,2.1533,6,0.6667,5.2141,doi.org/10.1039/C9CP06008A
BeCH4,2.1533,2.9,0.6667,5.2141,doi.org/10.1039/C9CP06008A
BeCH4,2.1533,28.9,0.6667,5.2138,doi.org/10.1039/C9CP06008A
BeN2H8,2.2955,17,0.7273,4.5915,doi.org/10.1063/5.0127365
BeN2H8,2.2955,30,0.7273,4.5915,doi.org/10.1063/5.0127365
BeP2H14,2.1618,99,0.8235,5.0284,doi.org/10.1021/acs.jpclett.9b03856
BiC2H8,2.2473,39,0.7273,28.8941,doi.org/10.1038/s41524-024-01490-5
BiC2H8,2.2473,65,0.7273,28.8941,doi.org/10.1038/s41524-024-01490-5
BN2H8,2.3382,30,0.7273,4.8145,doi.org/10.1063/5.0127365
BN2H8,2.3382,57,0.7273,4.8145,doi.org/10.1063/5.0127365
BS7H24,2.1769,191,0.75,4.4531,doi.org/10.1103/PhysRevResearch.3.043102
BS7H24,2.1769,156,0.75,4.4531,doi.org/10.1103/PhysRevResearch.3.043102
C2TeH8,2.2545,151.4,0.7273,18.8023,doi.org/10.1103/PhysRevB.109.174507
Ca2AgH6,1.9033,35.9,0.6667,31.089,doi.org/10.1002/adfm.202404043
Ca2AlH12,2.0007,118,0.8,8.8573,doi.org/10.1039/D3CP03952H
Ca2B2H13,2.04,62,0.7647,7.7668,doi.org/10.1103/PhysRevB.102.014516
Ca2B2H13,2.04,89,0.7647,7.7668,doi.org/10.1103/PhysRevB.102.014516
Ca2LiH6,1.7978,33,0.6667,14.4008,doi.org/10.1002/adfm.202404043
Ca2LuH18,2.0414,232,0.8571,14.0612,doi.org/10.34133/2022/9784309
Ca2PdH6,1.9333,26,0.6667,30.8492,doi.org/10.1016/j.mtphys.2024.101374
Ca2PtH6,1.9422,20,0.6667,45.5086,doi.org/10.1016/j.mtphys.2024.101374
Ca2ScH10,1.9508,75,0.7692,12.4119,doi.org/10.1039/D3CP05086F
Ca2UH18,2.0467,65.8,0.8571,17.5367,doi.org/10.1088/1361-648X/ad1ca7
Ca2YbH18,2.0314,171,0.8571,13.9554,doi.org/10.34133/2022/9784309
Ca3LuH24,2.0382,221,0.8571,12.2025,doi.org/10.34133/2022/9784309
Ca3YbH24,2.0307,196,0.8571,12.1232,doi.org/10.34133/2022/9784309
CaAlH7,2.0011,71,0.7778,9.504,doi.org/10.1039/D3CP03952H
CaAlH7,2.0011,63,0.7778,9.504,doi.org/10.1088/1361-648X/acea4c
CaAlH7,2.0011,61,0.7778,9.504,doi.org/10.1039/D3CP03952H
CaAlH7,2.0011,47,0.7778,9.504,doi.org/10.1039/D3CP03952H
CaAlH7,2.0011,50,0.7778,9.504,doi.org/10.1088/1361-648X/acea4c
CaB3H,1.864,39.3,0.2,71.9325,10.1088/0256-307X/40/1/017402
CaB3H,1.864,7,0.2,71.9325,doi.org/10.1103/PhysRevB.102.014516
CaBeH8,2.017,302,0.8,6.0876,doi.org/10.1103/PhysRevLett.128.047001
CaBH,1.7467,0,0.3333,50.4841,doi.org/10.1103/PhysRevB.102.014516
CaBH11,2.0954,123,0.8462,4.5895,doi.org/10.1103/PhysRevB.104.174106
CaBH11,2.0954,128,0.8462,4.5895,doi.org/10.1103/PhysRevB.104.174106
CaBH2,1.86,53,0.5,25.2421,doi.org/10.1103/PhysRevB.104.174106
CaBH2,1.86,0,0.5,25.2421,doi.org/10.1103/PhysRevB.104.174106
CaBH2,1.86,91,0.5,25.2421,doi.org/10.1103/PhysRevB.104.174106
CaBH2,1.86,95,0.5,25.2421,doi.org/10.1103/PhysRevB.104.174106
CaBH5,2.0057,0,0.7143,10.0968,doi.org/10.1103/PhysRevB.102.014516
CaBH6,2.03,114,0.75,8.414,doi.org/10.1103/PhysRevB.102.014516
CaBH6,2.03,56,0.75,8.414,doi.org/10.1103/PhysRevB.104.174106
CaBH6,2.03,117,0.75,8.414,doi.org/10.1103/PhysRevB.102.014516
CaBH6,2.03,190,0.75,8.414,doi.org/10.1103/PhysRevB.104.174106
CaBH6,2.03,119,0.75,8.414,doi.org/10.1103/PhysRevB.102.014516
CaBH6,2.03,200,0.75,8.414,doi.org/10.1103/PhysRevB.104.174106
CaBH6,2.03,96,0.75,8.414,doi.org/10.1103/PhysRevB.104.174106
CaBH7,2.0489,135,0.7778,7.212,doi.org/10.1103/PhysRevB.104.174106
CaBH7,2.0489,151,0.7778,7.212,doi.org/10.1103/PhysRevB.104.174106
CaBH7,2.0489,136,0.7778,7.212,doi.org/10.1103/PhysRevB.104.174106
CaBH7,2.0489,135,0.7778,7.212,doi.org/10.1103/PhysRevB.104.174106
CaBH8,2.064,238,0.8,6.3105,doi.org/10.1103/PhysRevLett.128.047001
CaBH8,2.064,55,0.8,6.3105,doi.org/10.1103/PhysRevB.104.174106
CaBH8,2.064,74,0.8,6.3105,doi.org/10.1103/PhysRevB.104.174106
CaBH8,2.064,167,0.8,6.3105,doi.org/10.1103/PhysRevB.104.174106
CaBH8,2.064,162,0.8,6.3105,doi.org/10.1103/PhysRevB.104.174106
CaBH9,2.0764,0,0.8182,5.6093,doi.org/10.1103/PhysRevB.104.174106
CaBH9,2.0764,2,0.8182,5.6093,doi.org/10.1103/PhysRevB.104.174106
CaCH5,2.0786,50,0.7143,10.3351,doi.org/10.1038/s41598-022-10249-1
CaCH5,2.0786,46,0.7143,10.3351,doi.org/10.1038/s41598-022-10249-1
CaHfH12,2.05,241.1,0.8571,18.0694,doi.org/10.1016/j.mtphys.2023.101233
CaHfH12,2.05,363,0.8571,18.0694,doi.org/10.1103/PhysRevB.107.L020504
CaHfH18,2.095,338,0.9,12.0463,doi.org/10.1103/PhysRevB.107.L020504
CaLaH12,2.0357,49.5,0.8571,14.7973,doi.org/10.1088/1361-648X/ac79ed
CaLaH12,2.0357,46.6,0.8571,14.7973,doi.org/10.1088/1361-648X/ac79ed
CaLaH12,2.0357,140.3,0.8571,14.7973,doi.org/10.1088/1361-648X/ac79ed
CaLaH12,2.0357,125.4,0.8571,14.7973,doi.org/10.1088/1361-648X/ac79ed
CaLaH12,2.0357,125,0.8571,14.7973,doi.org/10.1088/1361-648X/ac79ed
CaLaH12,2.0357,130.2,0.8571,14.7973,doi.org/10.1088/1361-648X/ac79ed
CaLaH4,1.8167,0.78,0.6667,44.3919,doi.org/10.1088/1361-648X/ac79ed
CaLaH4,1.8167,0.84,0.6667,44.3919,doi.org/10.1088/1361-648X/ac79ed
CaLaH4,1.8167,0.36,0.6667,44.3919,doi.org/10.1088/1361-648X/ac79ed
CaLaH7,1.9444,41.8,0.7778,25.3668,doi.org/10.1088/1361-648X/ac79ed
CaLaH8,1.97,43.4,0.8,22.1959,doi.org/10.1088/1361-648X/ac79ed
CaLu2H18,2.0543,299,0.8571,21.4957,doi.org/10.34133/2022/9784309
